id,value,type,img
prompt_112bdca9-115b-4bd5-ae1a-f81c3e851994,"I can't tell if this is festive or threatening. Help.",prompt,"menacing_elf.jpg"
prompt_a83cb553-ca27-4fd8-a096-3289a5783fa2,"Your name came up during a Christmas emergency meeting. Confirm or deny.",prompt,
prompt_08c17cc3-8f70-4e94-ab4e-c077ebedf3c0,"Someone left this in my stocking. Interpret it:",prompt,"weird_candy.png"
prompt_dfb5b175-2693-4744-8e7b-9461a36f99fb,"This might sound weird but… what does Christmas FEEL like to you?",prompt,

prompt_c9cdaec2-bdd6-438b-912b-09930c2d8cde,"If this Christmas text was meant for someone else, what should I pretend to say?",prompt,
prompt_0a9291b1-c0df-41cf-91f2-d4b56555c0bf,"I swear the tree moved. What’s the protocol here?",prompt,
prompt_42be26db-297f-4aba-a582-4b4090039a3f,"Is there a polite way to respond to this kind of festive chaos?",prompt,
prompt_f0f418e6-1a2c-44b3-887a-2dd161fed3df,"The reindeer won’t stop staring at me. Am I the problem?",prompt,"judgmental_reindeer.jpg"
prompt_6b95ecbb-b8be-46c6-b838-e48e23a1fc99,"Someone said you'd know what to reply to a Christmas disaster.",prompt,

prompt_9e692691-c203-4da3-9538-37f6bb7c4eae,"This might be a festive emergency. Or not. Hard to tell.",prompt,
prompt_1faa5c8d-fdd4-47f3-a2af-0f7c1e794a73,"On a scale from ‘cosy’ to ‘call the police,’ how do I respond to this?",prompt,
prompt_22f1b8a5-01ac-4dda-b55d-7e04843e4d27,"I found this cookie and now nothing makes sense.",prompt,"suspicious_cookie.jpg"
prompt_7f7df5d2-1b51-4b28-8099-f08c243f8460,"Someone dressed as Santa just ran past me screaming your name.",prompt,
prompt_01734865-a759-4cce-bdb1-a31e5bbef2cb,"I need a festive reply that doesn’t make me look unhinged. Good luck.",prompt,
